number,name,status
0349,PEP 349 – Allow str() to return unicode strings,Rejected
0350,PEP 350 – Codetags,Rejected
0348,PEP 348 – Exception Reorganization for Python 3.0,Rejected
0346,PEP 346 – User Defined (”,Withdrawn
0344,PEP 344 – Exception Chaining and Embedded Tracebacks,Superseded
0347,PEP 347 – Migrating the Python CVS to Subversion,Final
0345,PEP 345 – Metadata for Python Software Packages 1.2,Superseded
0343,PEP 343 – The “with” Statement,Final
0342,PEP 342 – Coroutines via Enhanced Generators,Final
0341,PEP 341 – Unifying try-except and try-finally,Final
0340,PEP 340 – Anonymous Block Statements,Rejected
0337,PEP 337 – Logging Usage in the Standard Library,Deferred
0335,PEP 335 – Overloadable Boolean Operators,Rejected
0336,PEP 336 – Make None Callable,Rejected
0338,PEP 338 – Executing modules as scripts,Final
0339,PEP 339 – Design of the CPython Compiler,Withdrawn
0334,PEP 334 – Simple Coroutines via SuspendIteration,Withdrawn
0333,PEP 333 – Python Web Server Gateway Interface v1.0,Final
0332,PEP 332 – Byte vectors and String/Unicode Unification,Rejected
0331,PEP 331 – Locale-Independent Float/String Conversions,Final
0330,PEP 330 – Python Bytecode Verification,Rejected
0329,PEP 329 – Treating Builtins as Constants in the Standard Library,Rejected
0327,PEP 327 – Decimal Data Type,Final
0326,PEP 326 – A Case for Top and Bottom Values,Rejected
0328,PEP 328 – Imports: Multi-Line and Absolute/Relative,Final
0324,PEP 324 – subprocess - New process module,Final
0323,PEP 323 – Copyable Iterators,Deferred
0322,PEP 322 – Reverse Iteration,Final
0325,PEP 325 – Resource-Release Support for Generators,Rejected
0320,PEP 320 – Python 2.4 Release Schedule,Final
0321,PEP 321 – Date/Time Parsing and Formatting,Withdrawn
0319,PEP 319 – Python Synchronize/Asynchronize Block,Rejected
0318,PEP 318 – Decorators for Functions and Methods,Final
0316,PEP 316 – Programming by Contract for Python,Deferred
0317,PEP 317 – Eliminate Implicit Exception Instantiation,Rejected
0315,PEP 315 – Enhanced While Loop,Rejected
0314,PEP 314 – Metadata for Python Software Packages 1.1,Superseded
0312,PEP 312 – Simple Implicit Lambda,Deferred
0313,PEP 313 – Adding Roman Numeral Literals to Python,Rejected
0311,PEP 311 – Simplified Global Interpreter Lock Acquisition for Extensions,Final
0310,PEP 310 – Reliable Acquisition/Release Pairs,Rejected
0309,PEP 309 – Partial Function Application,Final
0308,PEP 308 – Conditional Expressions,Final
0307,PEP 307 – Extensions to the pickle protocol,Final
0306,PEP 306 – How to Change Python’s Grammar,Withdrawn
0305,PEP 305 – CSV File API,Final
0304,PEP 304 – Controlling Generation of Bytecode Files,Withdrawn
0303,PEP 303 – Extend divmod() for Multiple Divisors,Rejected
0302,PEP 302 – New Import Hooks,Final
0301,PEP 301 – Package Index and Metadata for Distutils,Final
0299,PEP 299 – Special __main__() function in modules,Rejected
0297,PEP 297 – Support for System Upgrades,Rejected
0298,PEP 298 – The Locked Buffer Interface,Withdrawn
0296,PEP 296 – Adding a bytes Object Type,Withdrawn
0295,PEP 295 – Interpretation of multiline string constants,Rejected
0294,PEP 294 – Type Names in the types Module,Rejected
0293,PEP 293 – Codec Error Handling Callbacks,Final
0292,PEP 292 – Simpler String Substitutions,Final
0291,PEP 291 – Backward Compatibility for the Python 2 Standard Library,Final
0290,PEP 290 – Code Migration and Modernization,Active
0287,PEP 287 – reStructuredText Docstring Format,Active
0289,PEP 289 – Generator Expressions,Final
0288,PEP 288 – Generators Attributes and Exceptions,Withdrawn
0286,PEP 286 – Enhanced Argument Tuples,Deferred
0285,PEP 285 – Adding a bool type,Final
0284,PEP 284 – Integer for-loops,Rejected
0283,PEP 283 – Python 2.3 Release Schedule,Final
0281,PEP 281 – Loop Counter Iteration with range and xrange,Rejected
0282,PEP 282 – A Logging System,Final
0280,PEP 280 – Optimizing access to globals,Deferred
0279,PEP 279 – The enumerate() built-in function,Final
0278,PEP 278 – Universal Newline Support,Final
0277,PEP 277 – Unicode file name support for Windows NT,Final
0276,PEP 276 – Simple Iterator for ints,Rejected
0275,PEP 275 – Switching on Multiple Values,Rejected
0273,PEP 273 – Import Modules from Zip Archives,Final
0272,PEP 272 – API for Block Encryption Algorithms v1.0,Final
0274,PEP 274 – Dict Comprehensions,Final
0270,PEP 270 – uniq method for list objects,Rejected
0271,PEP 271 – Prefixing sys.path by command line option,Rejected
0269,PEP 269 – Pgen Module for Python,Deferred
0268,PEP 268 – Extended HTTP functionality and WebDAV,Rejected
0267,PEP 267 – Optimized Access to Module Namespaces,Deferred
0264,PEP 264 – Future statements in simulated shells,Final
0265,PEP 265 – Sorting Dictionaries by Value,Rejected
0263,PEP 263 – Defining Python Source Code Encodings,Final
0266,PEP 266 – Optimizing Global Variable/Attribute Access,Withdrawn
0262,PEP 262 – A Database of Installed Python Packages,Rejected
0261,PEP 261 – Support for “wide” Unicode characters,Final
0259,PEP 259 – Omit printing newline after newline,Rejected
0260,PEP 260 – Simplify xrange(),Final
0258,PEP 258 – Docutils Design Specification,Rejected
0257,PEP 257 – Docstring Conventions,Active
0256,PEP 256 – Docstring Processing System Framework,Rejected
0254,PEP 254 – Making Classes Look More Like Types,Rejected
0253,PEP 253 – Subtyping Built-in Types,Final
0255,PEP 255 – Simple Generators,Final
0252,PEP 252 – Making Types Look More Like Classes,Final
0251,PEP 251 – Python 2.2 Release Schedule,Final
0249,PEP 249 – Python Database API Specification v2.0,Final
0250,PEP 250 – Using site-packages on Windows,Final
0248,PEP 248 – Python Database API Specification v1.0,Final
0246,PEP 246 – Object Adaptation,Rejected
0247,PEP 247 – API for Cryptographic Hash Functions,Final
0245,PEP 245 – Python Interface Syntax,Rejected
0244,PEP 244 – The ,Rejected
0243,PEP 243 – Module Repository Upload Mechanism,Withdrawn
0241,PEP 241 – Metadata for Python Software Packages,Superseded
0242,PEP 242 – Numeric Kinds,Withdrawn
0240,PEP 240 – Adding a Rational Literal to Python,Rejected
0224,PEP 224 – Attribute Docstrings,Rejected
0222,PEP 222 – Web Library Enhancements,Deferred
0223,PEP 223 – Change the Meaning of ,Final
0221,PEP 221 – Import As,Final
0220,"PEP 220 – Coroutines, Generators, Continuations",Rejected
0219,PEP 219 – Stackless Python,Deferred
0218,PEP 218 – Adding a Built-In Set Object Type,Final
0217,PEP 217 – Display Hook for Interactive Use,Final
0216,PEP 216 – Docstring Format,Withdrawn
0215,PEP 215 – String Interpolation,Superseded
0214,PEP 214 – Extended Print Statement,Final
0213,PEP 213 – Attribute Access Handlers,Deferred
0212,PEP 212 – Loop Counter Iteration,Rejected
0211,PEP 211 – Adding A New Outer Product Operator,Rejected
0210,PEP 210 – Decoupling the Interpreter Loop,Rejected
0209,PEP 209 – Multi-dimensional Arrays,Withdrawn
0208,PEP 208 – Reworking the Coercion Model,Final
0206,PEP 206 – Python Advanced Library,Withdrawn
0207,PEP 207 – Rich Comparisons,Final
0205,PEP 205 – Weak References,Final
0203,PEP 203 – Augmented Assignments,Final
0204,PEP 204 – Range Literals,Rejected
0202,PEP 202 – List Comprehensions,Final
0201,PEP 201 – Lockstep Iteration,Final
0200,PEP 200 – Python 2.0 Release Schedule,Final
0160,PEP 160 – Python 1.6 Release Schedule,Final
0102,PEP 102 – Doing Python Micro Releases,Superseded
0103,PEP 103 – Collecting information about git,Withdrawn
0101,PEP 101 – Doing Python Releases 101,Active
0100,PEP 100 – Python Unicode Integration,Final
0042,PEP 42 – Feature Requests,Withdrawn
0020,PEP 20 – The Zen of Python,Active
0008,PEP 8 – Style Guide for Python Code,Active
0013,PEP 13 – Python Language Governance,Active
0012,PEP 12 – Sample reStructuredText PEP Template,Active
0011,PEP 11 – CPython platform support,Active
0010,PEP 10 – Voting Guidelines,Active
0009,PEP 9 – Sample Plaintext PEP Template,Withdrawn
0007,PEP 7 – Style Guide for C Code,Active
0006,PEP 6 – Bug Fix Releases,Superseded
0004,PEP 4 – Deprecation of Standard Modules,Active
0005,PEP 5 – Guidelines for Language Evolution,Superseded
0003,PEP 3 – Guidelines for Handling Bug Reports,Withdrawn
0002,PEP 2 – Procedure for Adding New Modules,Active
